Frame Number, Location X, Location Y, Rotation
1703, 1008.267146, 421.60747, 179.493317
1704, 1006.300556, 421.58775, 179.220596
1705, 1004.378576, 421.577328, 178.947067
1706, 1002.437487, 421.57589, 178.673126
1707, 1000.406751, 421.584359, 178.39859
1708, 998.527455, 421.600712, 178.123718
1709, 996.549716, 421.627447, 177.848541
1710, 994.637534, 421.662204, 177.573135
1711, 992.700772, 421.706606, 177.297455
1712, 990.727822, 421.761408, 177.021545
1713, 988.817219, 421.82345, 176.745453
1714, 986.838141, 421.897385, 176.469193
1715, 984.933888, 421.977468, 176.19281
1716, 982.996542, 422.068252, 175.916595
1717, 981.065722, 422.16799, 175.640366
1718, 979.133588, 422.277087, 175.364258
1719, 977.189765, 422.396268, 175.088242
1720, 975.253436, 422.524343, 174.812469
1721, 973.272304, 422.665181, 174.536819
1722, 971.374541, 422.809063, 174.261551
1723, 969.442089, 422.964921, 173.986496
1724, 967.47601, 423.133169, 173.7117
1725, 965.585569, 423.303878, 173.437119
1726, 963.634464, 423.489627, 173.16301
1727, 961.698095, 423.683377, 172.889404
1728, 959.746915, 423.888153, 172.616257
1729, 957.81685, 424.100042, 172.343658
1730, 955.859716, 424.3245, 172.071793
1731, 953.965678, 424.550697, 171.800644
1732, 952.059965, 424.787413, 171.530319
1733, 950.104742, 425.039898, 171.260864
1734, 947.655206, 425.371182, 170.992615
1735, 946.257891, 425.564828, 170.725174
1736, 944.37685, 425.834453, 170.459229
1737, 942.478861, 426.115622, 170.194977
1738, 940.559535, 426.409256, 169.93277
1739, 938.644209, 426.711504, 169.674484
1740, 936.763618, 427.017126, 169.429947
1741, 934.880371, 427.331968, 169.200287
1742, 932.959077, 427.662137, 168.990158
1743, 931.043795, 427.999877, 168.802521
1744, 929.148785, 428.342095, 168.639465
1745, 927.360841, 428.665763, 168.518311
1746, 925.648045, 428.976647, 168.432846
1747, 924.098565, 429.258663, 168.384247
1748, 922.692115, 429.515374, 168.377899
1749, 921.490219, 429.735351, 168.41748
1750, 920.465233, 429.923427, 168.507614
1751, 919.493063, 430.102253, 168.643295
1752, 918.68497, 430.251188, 168.811569
1753, 917.932356, 430.390112, 169.010544
1754, 917.17897, 430.529338, 169.255676
1755, 916.458238, 430.662606, 169.543457
1756, 915.717429, 430.799534, 169.874634
1757, 914.976879, 430.935499, 170.239639
1758, 914.243143, 431.068553, 170.630951
1759, 913.500552, 431.200821, 171.042236
1760, 912.749522, 431.33154, 171.469574
1761, 912.001699, 431.458164, 171.9095
1762, 911.262654, 431.579416, 172.359589
1763, 910.489681, 431.701585, 172.818604
1764, 909.751338, 431.813757, 173.285217
1765, 908.981573, 431.925496, 173.758469
1766, 908.196016, 432.033885, 174.236984
1767, 907.440588, 432.132755, 174.721573
1768, 906.660441, 432.228971, 175.212067
1769, 905.886217, 432.318538, 175.707993
1770, 905.088569, 432.404424, 176.210815
1771, 904.287325, 432.484215, 176.725632
1772, 903.46834, 432.558964, 177.252411
1773, 902.641645, 432.627456, 177.790909
1774, 901.798917, 432.69001, 178.339752
1775, 900.929284, 432.746784, 178.897247
1776, 900.05734, 432.795922, 179.46698
1777, 899.164959, 432.838065, -179.952377
1778, 898.245419, 432.872852, -179.362442
1779, 897.3282, 432.898946, -178.765137
1780, 896.405571, 432.916426, -178.161591
1781, 895.488525, 432.925058, -177.553162
1782, 894.369854, 432.922506, -176.940521
1783, 893.259043, 432.907424, -176.324432
1784, 892.199634, 432.88181, -175.705276
1785, 891.161035, 432.845909, -175.083694
1786, 890.172194, 432.801881, -174.460297
1787, 888.076097, 432.664754, -173.834442
1788, 887.040462, 432.588153, -173.207382
1789, 886.058638, 432.507117, -172.579147
1790, 885.042557, 432.413765, -171.949814
1791, 882.978919, 432.184495, -171.319199
1792, 881.913038, 432.057028, -170.687958
1793, 880.930611, 431.931333, -170.056091
1794, 879.912709, 431.791718, -169.423508
1795, 877.887769, 431.475981, -168.78981
1796, 876.865947, 431.308241, -168.155685
1797, 875.9224, 431.145618, -167.520981
1798, 873.979949, 430.776481, -166.883636
1799, 872.92567, 430.567122, -166.244431
1800, 871.934964, 430.36185, -165.603821
1801, 869.935551, 429.911171, -164.960983
1802, 868.838714, 429.654196, -164.316895
1803, 867.805256, 429.402787, -163.671829
1804, 866.714836, 429.126495, -163.025742
1805, 864.892424, 428.633038, -162.377411
1806, 863.808566, 428.329282, -161.727905
1807, 861.85625, 427.747179, -161.076645
1808, 860.890144, 427.451316, -160.424484
1809, 859.818455, 427.112528, -159.771622
1810, 858.788591, 426.776575, -159.117981
1811, 856.800851, 426.08794, -158.461029
1812, 855.81994, 425.739396, -157.802185
1813, 854.810386, 425.370605, -157.140976
